AppID,Category_1,Category_2
20200,Single-player,Multi-player
655370,Single-player,Steam Achievements
1732930,Single-player,
1355720,Single-player,Full controller support
1139950,Single-player,Steam Achievements
1469160,Single-player,Multi-player
1659180,Single-player,Steam Achievements
1968760,Single-player,Steam Cloud
1178150,Single-player,Steam Achievements
320150,Single-player,Steam Achievements
1026420,Single-player,Steam Achievements
485000,Single-player,Multi-player
1620060,Single-player,Steam Achievements
825930,Single-player,Steam Achievements
1454010,Single-player,Partial Controller Support
22670,Single-player,Multi-player
1330820,Single-player,
346560,Single-player,Steam Achievements
1097880,Single-player,Steam Trading Cards
1362670,Single-player,
290870,Single-player,Multi-player
575760,Single-player,Steam Trading Cards
434030,Single-player,Partial Controller Support
810740,Single-player,
2073470,Single-player,Multi-player
589250,Single-player,Steam Achievements
677880,Single-player,Steam Achievements
1294780,Single-player,Steam Achievements
1342850,Single-player,Full controller support
1177420,Single-player,Steam Achievements
793990,Single-player,Steam Achievements
1727670,Others,
955490,Single-player,Steam Achievements
552350,Single-player,Steam Trading Cards
42500,Single-player,Multi-player
1195610,Single-player,
1095380,Single-player,
1158910,Single-player,Steam Cloud
1194940,Single-player,
262150,Single-player,Multi-player
1192900,Multi-player,PvP
866150,Single-player,Steam Achievements
231330,Single-player,Multi-player
1056520,Single-player,
897820,Single-player,Steam Achievements
658970,Multi-player,MMO
1777550,Single-player,
552520,Single-player,Multi-player
718350,Single-player,
433450,Single-player,Steam Achievements
1709450,Single-player,
1431470,Single-player,Steam Achievements
1794920,Single-player,
1959480,Single-player,Full controller support
763550,Single-player,Multi-player
1445370,Multi-player,PvP
464230,Single-player,Steam Achievements
1293830,Single-player,Multi-player
1509640,Single-player,
1135380,Single-player,
1944730,Single-player,Steam Achievements
1144900,Single-player,
306350,Single-player,Steam Trading Cards
1684530,Single-player,
1557480,Single-player,Multi-player
1128520,Single-player,
12140,Single-player,
1647430,Single-player,
1845050,Single-player,Steam Achievements
1163340,Single-player,Multi-player
1608620,Multi-player,PvP
541570,Single-player,Steam Achievements
1119070,Single-player,
1292520,Single-player,Steam Achievements
1467330,Single-player,Steam Achievements
1624600,Multi-player,PvP
870000,Single-player,Steam Achievements
1621490,Single-player,
768060,Single-player,
1746130,Single-player,Partial Controller Support
1281400,Single-player,Multi-player
372890,Single-player,
1023420,Single-player,
1141880,Single-player,Multi-player
1022840,Single-player,
652160,Single-player,Multi-player
968580,Single-player,
1131550,Single-player,
1729790,Single-player,Multi-player
368080,Single-player,Steam Achievements
572510,Single-player,Multi-player
1225870,Single-player,
1232510,Single-player,Multi-player
1066890,Single-player,Multi-player
817370,Single-player,
1662060,Single-player,
457140,Single-player,Steam Trading Cards
1774810,Single-player,
1886290,Single-player,Steam Achievements
1514360,Single-player,Steam Achievements
1374280,Single-player,Steam Achievements
863490,Single-player,Steam Achievements
396640,Single-player,Multi-player
726020,Single-player,Steam Achievements
424060,Single-player,Steam Achievements
1943590,Others,
1995240,Single-player,Full controller support
514870,Single-player,Steam Achievements
548290,Multi-player,MMO
695420,Single-player,Steam Achievements
1241110,Single-player,
587490,Single-player,Steam Achievements
546050,Single-player,Multi-player
301700,Single-player,
2004200,Single-player,
1588070,Single-player,Steam Achievements
730310,Single-player,Multi-player
242530,Single-player,Multi-player
1372570,Single-player,Steam Achievements
1345820,Single-player,Multi-player
420270,Single-player,Steam Achievements
435790,Single-player,Steam Achievements
926310,Single-player,Steam Achievements
788020,Single-player,Multi-player
467400,Single-player,
856730,Single-player,
1106950,Single-player,Steam Achievements
1274570,Single-player,Multi-player
1470790,Single-player,Multi-player
1087620,Single-player,Steam Achievements
1348430,Single-player,Steam Achievements
1547580,Single-player,Steam Achievements
1253680,Single-player,Multi-player
1881210,Single-player,Steam Achievements
497670,Single-player,Steam Trading Cards
850040,Single-player,Full controller support
7940,Single-player,Multi-player
741770,Single-player,Steam Leaderboards
110630,Single-player,Multi-player
572330,Single-player,Steam Trading Cards
1683240,Single-player,Steam Achievements
567150,Single-player,Steam Trading Cards
700880,Single-player,
1413090,Single-player,Steam Achievements
1610860,Single-player,Multi-player
1302840,Others,
1305570,Single-player,Partial Controller Support
1609730,Single-player,
717980,Single-player,Steam Achievements
1417450,Single-player,
778900,Single-player,Partial Controller Support
1004200,Single-player,Steam Achievements
1506230,Single-player,
638230,Single-player,Multi-player
1839080,Single-player,Steam Achievements
907460,Single-player,
1307070,Single-player,Steam Leaderboards
1221640,Single-player,Multi-player
703120,Single-player,Steam Achievements
328710,Single-player,Steam Achievements
926140,Single-player,Steam Achievements
1700630,Single-player,Steam Achievements
845290,Single-player,Steam Achievements
739720,Single-player,
1776800,Single-player,Steam Cloud
873970,Single-player,
1238130,Single-player,
1593100,Single-player,Steam Achievements
1365900,Single-player,
962950,Single-player,
778120,Single-player,Steam Achievements
1187910,Single-player,
763350,Single-player,Multi-player
1537410,Single-player,Steam Achievements
761910,Single-player,Multi-player
975470,Single-player,Steam Achievements
990900,Single-player,Full controller support
372770,Single-player,
462580,Single-player,Steam Trading Cards
926870,Single-player,Multi-player
1966960,Others,
848720,Single-player,
1343040,Single-player,Multi-player
519140,Single-player,
1987030,Single-player,Steam Achievements
821260,Single-player,
1565720,Single-player,Steam Achievements
748490,Single-player,Steam Achievements
545000,Single-player,Steam Cloud
1623720,Single-player,
544220,Single-player,
338190,Single-player,Steam Achievements
1375270,Single-player,Steam Achievements
551680,Single-player,Steam Trading Cards
1874510,Single-player,
1693780,Single-player,
1466930,Multi-player,PvP
1748070,Single-player,Steam Achievements
1755120,Multi-player,PvP
964920,Single-player,
1085570,Single-player,Steam Achievements
1528020,Single-player,
1796350,Multi-player,PvP
1444320,Single-player,Multi-player
906050,Single-player,
351910,Single-player,Steam Achievements
513480,Single-player,Steam Achievements
2010700,Single-player,Steam Achievements
1089830,Single-player,Multi-player
403070,Single-player,Steam Achievements
811440,Single-player,Full controller support
491010,Single-player,Steam Achievements
681290,Single-player,
1233460,Single-player,Multi-player
1688630,Others,
350530,Single-player,Steam Achievements
2026860,Others,
1481840,Single-player,Multi-player
1444890,Single-player,
1217340,Single-player,Steam Achievements
1478660,Others,
872340,Single-player,Steam Achievements
523680,Single-player,Steam Achievements
439460,Single-player,
1308880,Single-player,Steam Achievements
296650,Single-player,
1549420,Single-player,
418270,Single-player,Steam Achievements
390220,Single-player,Multi-player
549860,Single-player,Steam Achievements
612380,Single-player,
1559340,Single-player,
1632640,Single-player,
350480,Single-player,Steam Achievements
220900,Single-player,Steam Achievements
1768260,Single-player,
539090,Single-player,Steam Leaderboards
