AppID,Genre_1,Genre_2,Genre_3
20200,Casual,Indie,Sports
655370,Action,Indie,
1732930,Action,Adventure,Indie
1355720,Adventure,Casual,Indie
1139950,Adventure,Indie,
1469160,Adventure,Casual,Free to Play
1659180,Indie,Strategy,
1968760,Casual,,
1178150,Adventure,RPG,Simulation
320150,Action,Adventure,Indie
1026420,Indie,RPG,
485000,Strategy,,
1620060,Casual,Indie,
825930,Casual,Indie,
1454010,Action,Adventure,Indie
22670,Action,,
1330820,Action,Casual,Simulation
346560,Adventure,Casual,Indie
1097880,Casual,Indie,
1362670,Action,Adventure,Casual
290870,Indie,Strategy,
575760,Action,Adventure,Casual
434030,Action,Indie,Racing
810740,Action,Adventure,Casual
2073470,Massively Multiplayer,Racing,Simulation
589250,Action,Indie,Simulation
677880,Casual,,
1294780,Casual,,
1342850,Casual,Indie,Simulation
1177420,Adventure,Casual,Indie
793990,Casual,Indie,
1727670,Utilities,,
955490,Adventure,Indie,
552350,Adventure,Indie,RPG
42500,Action,Indie,
1195610,Action,Strategy,Early Access
1095380,Casual,,
1158910,Adventure,Casual,Indie
1194940,Indie,RPG,
262150,Action,Casual,Indie
1192900,Action,Indie,Early Access
866150,Adventure,Casual,Indie
231330,Action,Adventure,
1056520,Indie,,
897820,Adventure,Indie,RPG
658970,Casual,Free to Play,Indie
1777550,Action,Adventure,Indie
552520,Action,Adventure,
718350,Adventure,Casual,Indie
433450,Action,RPG,
1709450,Adventure,Casual,
1431470,Adventure,Indie,
1794920,Adventure,Indie,
1959480,Action,Adventure,RPG
763550,Action,Adventure,RPG
1445370,Action,Indie,Early Access
464230,Casual,Indie,
1293830,Racing,,
1509640,Action,Adventure,Indie
1135380,Indie,,
1944730,Adventure,Indie,
1144900,Action,Casual,
306350,Action,Racing,Sports
1684530,Casual,,
1557480,Action,Adventure,RPG
1128520,Indie,Strategy,
12140,Action,,
1647430,Action,Adventure,Indie
1845050,Adventure,Casual,Indie
1163340,Simulation,Strategy,
1608620,Action,Casual,Indie
541570,Adventure,Indie,
1119070,Action,Indie,
1292520,Adventure,Indie,
1467330,Action,Indie,
1624600,Action,Adventure,Casual
870000,Adventure,Casual,Indie
1621490,Action,,
768060,Action,Adventure,Indie
1746130,Adventure,Strategy,
1281400,Action,Casual,Indie
372890,Adventure,Casual,Indie
1023420,Adventure,Indie,Simulation
1141880,Action,Casual,Indie
1022840,Action,Casual,Indie
652160,Action,Indie,
968580,Adventure,Casual,Indie
1131550,Adventure,,
1729790,Action,Adventure,Free to Play
368080,Action,Adventure,Indie
572510,Action,Adventure,Casual
1225870,Indie,Simulation,
1232510,Free to Play,Massively Multiplayer,RPG
1066890,Racing,Simulation,Sports
817370,Free to Play,Simulation,Early Access
1662060,Adventure,Casual,Indie
457140,Indie,Simulation,
1774810,Casual,Indie,
1886290,Casual,Simulation,Sports
1514360,Adventure,Casual,
1374280,Adventure,Indie,RPG
863490,Adventure,Casual,Indie
396640,Action,Adventure,Indie
726020,Action,Indie,
424060,RPG,Strategy,
1943590,Others,,
1995240,Adventure,Indie,
514870,Casual,Indie,Strategy
548290,Free to Play,Massively Multiplayer,RPG
695420,Casual,Indie,
